Country,Exchange Name,Thomson Reuters Symbol,Google Finance Symbol,Yahoo! Finance Symbol,Time Zone,GMT+-,Pre-Market,Market Session,Post-Market,Currency (Code)
,GXG Markets,,AMP,,Central European Time (CET),1,,09:00 - 17:00,,Danish Krone (DKK)
Estonia,OMX Baltic Exchange - Tallinn,ET,TAL,,Eastern European Time (EET),2,08:30 - 10:00,10:00 - 14:00,14:00 - 14:30,Euro (EUR)
Finland,OMX Nordic Exchange - Helsinki,HE,HEL,,Eastern European Time (EET),2,,10:00 - 18:30,,Euro (EUR)
France,Euronext - Paris,FR,EPA,.PA,Central European Time (CET),1,,09:00 - 17:30,,Euro (EUR)
Germany,Berlin Stock Exchange,BE,BER,.BE,Central European Time (CET),1,,,,Euro (EUR)
,XETRA,,ETR,.DE,Central European Time (CET),1,,,,Euro (EUR)
,Dusseldorf Stock Exchange,DU,,,Central European Time (CET),1,,,,Euro (EUR)
,Frankfurt Stock Exchange,FF,FRA,.F,Central European Time (CET),1,,09:00 - 20:00,,Euro (EUR)
,Munich Stock Exchange,MU,,,Central European Time (CET),1,,,,Euro (EUR)
,Stuttgart Stock Exchange,ST,STU,.SG,Central European Time (CET),1,,09:00 - 20:00,,Euro (EUR)
Greece,Athens Exchange,AT,ATH,,Eastern European Time (EET),2,,10:00 - 17:20,,Euro (EUR)
Hungary,Budapest Stock Exchange,BU,BDP,,Central European Time (CET),1,08:30 - 09:00,09:00 - 16:30,16:30 - 16:35,Hungarian Forint (HUF)
Ireland,Irish Stock Exchange,DB,ISE,.IR,Central European Time (CET),1,06:30 - 07:50,07:50 - 16:30,16:30 - 17:15,Euro (EUR)
Italy,Borsa Italiana,MI,BIT,.MI,Central European Time (CET),1,08:00 - 09:05,09:05 - 17:35,18:00 - 20:30,Euro (EUR)
Latvia,OMX Baltic Exchange - Riga,RG,RSE,,Eastern European Time (EET),2,08:30 - 10:00,10:00 - 14:00,14:00 - 14:30,Latvian Lats (LVL)
Lithuania,OMX Baltic Exchange - Vilnius,LV,VSE,,Eastern European Time (EET),2,08:30 - 10:00,10:00 - 14:00,14:00 - 14:30,Lithuanian Litas (LTL)
Luxembourg,Luxembourg Stock Exchange,LU,LUX,,Central European Time (CET),1,07:15 - 09:00,09:00 - 17:40,,Euro (EUR)
Macedonia,Macedonian Stock Exchange,MN,MSE,,Central European Time (CET),1,,,,Macedonian Denar (MKD)
Netherlands,Euronext - Amsterdam,AE,AMS,.AS,Central European Time (CET),1,,09:00 - 17:30,,Euro (EUR)
Norway,Oslo Stock Exchange,OS,OSL,.OL,Central European Time (CET),1,08:15 - 09:00,09:00 - 17:30,17:40 - 18:00,Norwegian Krone (NOK)
Poland,Warsaw Stock Exchange,WA,WAR,,Central European Time (CET),1,08:00 - 09:00,09:00 - 16:20,16:20 - 16:30,Polish Zloty (PLN)
Portugal,Euronext - Lisbon,LB,ELI,.LS,Central European Time (CET),1,,09:00 - 17:30,,Euro (EUR)
Romania,Bucharest Stock Exchange,RO,BSE,,Eastern European Time (EET),2,09:30 - 10:00,10:00 - 16:30,,Romanian Leu (RON)
Romania,Sibex-Sibiu Stock Exchange,RO,SBX,,Eastern European Time (EET),2,09:15 - 09:45,09:45 - 16:50,,Romanian Leu (RON)
Russia,Russian Trading System,RS,RTC,,Moscow Standard Time (MSK),3,,10:30 - 19:00,,U.S. Dollar (USD)
Russia,Moscow Interbank Currency Exchange,,,,Moscow Standard Time (MSK),3,,10:30 - 18:45,,Russian Ruble (RUB)
Slovakia,Bratislava Stock Exchange,BS,,,Central European Time (CET),1,10:30 - 10:50,11:00 - 14:00,,Slovak Koruna (SKK)
Slovenia,Ljubljana Stock Exchange,LJ,LJE,,Central European Time (CET),1,08:00 - 09:30,09:30 - 13:00,,Euro (EUR)
Spain,Barcelona Stock Exchange,BC,BCN,,Central European Time (CET),1,08:30 - 09:00,09:00 - 17:30,,Euro (EUR)
,Madrid Stock Exchange,MD,MCE,.MA,Central European Time (CET),1,08:30 - 09:00,09:00 - 17:30,,Euro (EUR)
Sweden,OMX Nordic Exchange - Stockholm,SK,STO,,Central European Time (CET),1,,09:00 - 17:30,,Swedish Krona (SEK)
Switzerland,Berne eXchange,BN,BRN,,Central European Time (CET),1,,,,Swiss Franc (CHF)
,SIX Swiss Exchange,EB,VTX,.VX,Central European Time (CET),1,,09:00 - 17:30,,Swiss Franc (CHF)
Turkey,Istanbul Stock Exchange,IS,IST,,Eastern European Time (EET),2,,09:30 - 17:30,,Turkish New Lira (TRY)
United Kingdom,London Stock Exchange,LN,LON,.L,Greenwich Mean Time (GMT),0,,08:00 - 16:30,,British Pound (GBP)
,PLUS Markets Group,PZ,OFEX,,Greenwich Mean Time (GMT),0,,08:00 - 16:30,,British Pound (GBP)
Bahrain,Bahrain Stock Exchange,BH,BSH,,Arabia Standard Time (AST),3,09:15 - 09:30,09:30 - 12:30,,Bahraini Dinar (BHD)
Egypt,Egyptian Stock Exchange,CI,CAI,,Eastern European Time (EET),2,,10:30 - 14:30,,Egyptian Pound (EGP)
Egypt,Cairo & Alexandria Stock Exchange,,,,Eastern European Time (EET),2,,,,Egyptian Pound (EGP)
Israel,Tel Aviv Stock Exchange,TV,TLV,.TA,Israel Standard Time (IST),2,09:30 - 09:30,09:30 - 16:30,,Israeli New Sheqel (ILS)
Jordan,Amman Stock Exchange,AJ,AFM,,Eastern European Time (EET),2,09:30 - 10:00,10:00 - 12:00,12:00 - 12:15,Jordanian Dinar (JOD)
Lebanon,Beirut Stock Exchange,LE,BEY,,Eastern European Time (EET),2,09:00 - 09:30,09:30 - 12:30,,Lebanese Pound (LBP)
Palestine,Palestine Securities Exchange,PL,PAS,,,2,,,,Jordanian Dinar (JOD)
United Arab Emirates,NASDAQ Dubai,,DFM,,United Arab Emirates Standard Time,4,,11:45 - 17:00,,U.A.E. Dirham (AED)
Syria,Damascus Securities Exchange,DSE,DSE,,,2,,,,Syrian Pound (SYP)
Bermuda,Bermuda Stock Exchange,HM,BSX,,Atlantic Standard Time Zone (AST),-4,08:30 - 09:00,09:00 - 15:30,,Bermudian Dollar (BMD)
Canada,Canada National Stock Exchange,L,CNQ,,Eastern Standard Time (EST),-5,,09:30 - 16:00,,Canadian Dollar (CAD)
,Toronto Stock Exchange,T,TSE,.TO,Eastern Standard Time (EST),-5,,09:30 - 16:00,16:15 - 17:00,Canadian Dollar (CAD)
,TSX Venture Exchange,V,CVE,.V,Eastern Standard Time (EST),-5,,09:30 - 16:00,16:15 - 17:00,Canadian Dollar (CAD)
United States,American Stock Exchange,A,AMEX,AMEX,Eastern Standard Time (EST),-5,,09:30 - 16:00,,U.S. Dollar (USD)
,NASDAQ OMX BX,B,NASDAQ,NASDAQ,Eastern Standard Time (EST),-5,,08:00 - 19:00,,U.S. Dollar (USD)
,Chicago Stock Exchange,M,,,Central Standard Time (CST),-6,,08:30 - 16:00,,U.S. Dollar (USD)
,NASDAQ,O,NASDAQ,NASDAQ,Eastern Standard Time (EST),-5,07:00 - 09:30,09:30 - 16:00,16:00 - 20:00,U.S. Dollar (USD)
,National Stock Exchange,C,,,Central Standard Time (CST),-6,,08:30 - 15:00,,U.S. Dollar (USD)
,New York Stock Exchange,N,NYSE,NYSE,Eastern Standard Time (EST),-5,,09:30 - 16:00,,U.S. Dollar (USD)
,NASDAQ OMX PHLX,X,NASDAQ,NASDAQ,Eastern Standard Time (EST),-5,,08:00 - 16:00,,U.S. Dollar (USD)
